cmd,cli,file,nodes,yang_path,action,phase,pr
bgp_default_afi_safi_cmd,[no] bgp default <ipv4-unicast|,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_default_dynamic_capability_cmd,[no] bgp default dynamic-capability,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_default_link_local_capability_cmd,[no] bgp default link-local-capability,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_default_local_preference_cmd,bgp default local-preference (0-4294967295),bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_default_show_hostname_cmd,bgp default show-hostname,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_default_show_nexthop_hostname_cmd,bgp default show-nexthop-hostname,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_default_shutdown_cmd,[no] bgp default shutdown,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_default_software_version_capability_cmd,[no] bgp default software-version-capability [latest-encoding$latest_encoding],bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_default_subgroup_pkt_queue_max_cmd,bgp default subgroup-pkt-queue-max (20-100),bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_deterministic_med_cmd,bgp deterministic-med,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_disable_connected_route_check_cmd,bgp disable-ebgp-connected-route-check,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_distance_cmd,distance bgp (1-255) (1-255) (1-255),bgpd/bgp_route.c,BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_IPV6M_NODE;BGP_IPV6_NODE;BGP_NODE,PARTIAL,fix,4-network-vpn,
bgp_distance_source_access_list_cmd,distance (1-255) A.B.C.D/M WORD,bgpd/bgp_route.c,BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_NODE,PARTIAL,fix,4-network-vpn,
bgp_distance_source_cmd,distance (1-255) A.B.C.D/M,bgpd/bgp_route.c,BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_NODE,PARTIAL,fix,4-network-vpn,
bgp_ebgp_requires_policy_cmd,bgp ebgp-requires-policy,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,5-evpn,
bgp_enforce_first_as_cmd,[no] bgp enforce-first-as,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_evpn_advertise_all_vni_cmd,advertise-all-vni,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_advertise_autort_rfc8365_cmd,autort rfc8365-compatible,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_advertise_default_gw_cmd,advertise-default-gw,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_advertise_default_gw_vni_cmd,advertise-default-gw,bgpd/bgp_evpn_vty.c,BGP_EVPN_VNI_NODE,MISSING,add,5-evpn,
bgp_evpn_advertise_pip_ip_mac_cmd,[no$no] advertise-pip [ip <A.B.C.D> [mac <X:X:X:X:X:X|X:X:X:X:X:X/M>]],bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_advertise_svi_ip_cmd,[no$no] advertise-svi-ip,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_advertise_svi_ip_vni_cmd,[no$no] advertise-svi-ip,bgpd/bgp_evpn_vty.c,BGP_EVPN_VNI_NODE,MISSING,add,5-evpn,
bgp_evpn_advertise_type5_cmd,advertise,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_advertise_vni_subnet_cmd,advertise-subnet,bgpd/bgp_evpn_vty.c,BGP_EVPN_VNI_NODE,MISSING,add,5-evpn,
bgp_evpn_default_originate_cmd,default-originate <ipv4 | ipv6>,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_ead_es_frag_evi_limit_cmd,[no$no] ead-es-frag evi-limit (1-1000)$limit,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_ead_es_rt_cmd,ead-es-route-target export RT,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_ead_evi_rx_disable_cmd,[no$no] disable-ead-evi-rx,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_ead_evi_tx_disable_cmd,[no$no] disable-ead-evi-tx,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_enable_resolve_overlay_index_cmd,[no$no] enable-resolve-overlay-index,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_flood_control_cmd,[no$no] flooding <disable$disable|head-end-replication$her>,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_flood_control_vni_cmd,[no$no] flooding <disable$disable|head-end-replication$her>,bgpd/bgp_evpn_vty.c,BGP_EVPN_VNI_NODE,MISSING,add,5-evpn,
bgp_evpn_use_es_l3nhg_cmd,[no$no] use-es-l3nhg,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_vni_cmd,"CMD_VNI_RANGE,",bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_vni_rd_cmd,rd ASN:NN_OR_IP-ADDRESS:NN,bgpd/bgp_evpn_vty.c,BGP_EVPN_VNI_NODE,MISSING,add,5-evpn,
bgp_evpn_vni_rt_cmd,route-target <both|import|export> RT,bgpd/bgp_evpn_vty.c,BGP_EVPN_VNI_NODE,MISSING,add,5-evpn,
bgp_evpn_vrf_rd_cmd,rd ASN:NN_OR_IP-ADDRESS:NN,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_vrf_rt_auto_cmd,route-target <both|import|export>$type auto,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_evpn_vrf_rt_cmd,route-target <both|import|export> RTLIST...,bgpd/bgp_evpn_vty.c,BGP_EVPN_NODE,MISSING,add,5-evpn,
bgp_extcommunity_list_name_expanded_cmd,bgp extcommunity-list <(100-500)|expanded EXTCOMMUNITY_LIST_NAME> [seq (0-4294967295)] <deny|permit> LINE...,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,8-filter-rmap,
bgp_extcommunity_list_standard_cmd,bgp extcommunity-list <(1-99)|standard EXTCOMMUNITY_LIST_NAME> [seq (0-4294967295)] <deny|permit> AA:NN...,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,8-filter-rmap,
bgp_fast_convergence_cmd,bgp fast-convergence,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_fast_external_failover_cmd,bgp fast-external-failover,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_fs_local_install_ifname_cmd,[no] local-install INTERFACE,bgpd/bgp_flowspec_vty.c,BGP_FLOWSPECV4_NODE;BGP_FLOWSPECV6_NODE,MISSING,add,6-srv6-ls-upa-fs,
bgp_global_advertisement_delay_cmd,bgp advertisement-delay (1-3600)$delay,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,1-globals,
bgp_global_suppress_fib_pending_cmd,[no] bgp suppress-fib-pending [(0-10000)$delay],bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,1-globals,
bgp_global_update_delay_cmd,bgp update-delay (0-3600)$delay [(1-3600)$wait],bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,1-globals,
bgp_graceful_restart_cmd,bgp graceful-restart,bgpd/bgp_vty.c,BGP_NODE;CONFIG_NODE,PARTIAL,fix,1-globals,
bgp_graceful_restart_disable_cmd,bgp graceful-restart-disable,bgpd/bgp_vty.c,BGP_NODE;CONFIG_NODE,PARTIAL,fix,1-globals,
bgp_graceful_restart_disable_eor_cmd,bgp graceful-restart disable-eor,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_graceful_restart_notification_cmd,[no$no] bgp graceful-restart notification,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_graceful_restart_preserve_fw_cmd,bgp graceful-restart preserve-fw-state,bgpd/bgp_vty.c,BGP_NODE;CONFIG_NODE,PARTIAL,fix,1-globals,
bgp_graceful_restart_restart_time_cmd,bgp graceful-restart restart-time (0-4095),bgpd/bgp_vty.c,BGP_NODE;CONFIG_NODE,PARTIAL,fix,1-globals,
bgp_graceful_restart_rib_stale_time_cmd,bgp graceful-restart rib-stale-time (1-3600),bgpd/bgp_vty.c,BGP_NODE;CONFIG_NODE,PARTIAL,fix,1-globals,
bgp_graceful_restart_select_defer_time_cmd,bgp graceful-restart select-defer-time (0-3600),bgpd/bgp_vty.c,BGP_NODE;CONFIG_NODE,PARTIAL,fix,1-globals,
bgp_graceful_restart_stalepath_time_cmd,bgp graceful-restart stalepath-time (1-4095),bgpd/bgp_vty.c,BGP_NODE;CONFIG_NODE,PARTIAL,fix,1-globals,
bgp_graceful_shutdown_cmd,bgp graceful-shutdown,bgpd/bgp_vty.c,BGP_NODE;CONFIG_NODE,PARTIAL,fix,1-globals,
bgp_imexport_vpn_cmd,[no] <import|export>$direction_str vpn,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,4-network-vpn,
bgp_imexport_vrf_cmd,[no] import vrf VIEWVRFNAME$import_name,bgpd/bgp_vty.c,BGP_IPV4_NODE;BGP_IPV6_NODE,MISSING,add,1-globals,
bgp_inq_limit_cmd,bgp input-queue-limit (1-4294967295)$limit,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,1-globals,
bgp_ipv6_auto_ra_cmd,[no] bgp ipv6-auto-ra,bgpd/bgp_vty.c,BGP_NODE;CONFIG_NODE,MISSING,add,1-globals,
bgp_lcommunity_list_expanded_cmd,bgp large-community-list (100-500) [seq (0-4294967295)] <deny|permit> LINE...,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,8-filter-rmap,
bgp_lcommunity_list_name_expanded_cmd,bgp large-community-list expanded LCOMMUNITY_LIST_NAME [seq (0-4294967295)] <deny|permit> LINE...,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,8-filter-rmap,
bgp_lcommunity_list_name_standard_cmd,bgp large-community-list standard LCOMMUNITY_LIST_NAME [seq (0-4294967295)] <deny|permit> AA:BB:CC...,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,8-filter-rmap,
bgp_lcommunity_list_standard_cmd,bgp large-community-list (1-99) [seq (0-4294967295)] <deny|permit> AA:BB:CC...,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,8-filter-rmap,
bgp_listen_limit_cmd,bgp listen limit (1-65535),bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
bgp_listen_range_cmd,bgp listen range <A.B.C.D/M|X:X::X:X/M> peer-group PGNAME,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,2-neighbor-session,
bgp_llgr_stalepath_time_cmd,bgp long-lived-graceful-restart stale-time (1-16777215),bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_local_mac_cmd,bgp local-mac vni,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,1-globals,
bgp_log_neighbor_changes_cmd,bgp log-neighbor-changes,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,5-evpn,
bgp_ls_distribute_bgp_fabric_cmd,distribute bgp-fabric-link-state [instance-id WORD$instance_id_str],bgpd/bgp_vty.c,BGP_LS_NODE,MISSING,add,1-globals,
bgp_lu_uses_explicit_null_cmd,[no] bgp labeled-unicast <explicit-null|ipv4-explicit-null|ipv6-explicit-null>$value,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,5-evpn,
bgp_maxmed_admin_cmd,bgp max-med administrative,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_maxmed_admin_medv_cmd,bgp max-med administrative (0-4294967295),bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_maxmed_onstartup_cmd,bgp max-med on-startup (5-86400) [(0-4294967295)],bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_maxpaths_cmd,maximum-paths,bgpd/bgp_vty.c,BGP_IPV4L_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6_NODE,MISSING,add,1-globals,
bgp_maxpaths_hidden_cmd,maximum-paths,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_maxpaths_ibgp_cluster_cmd,maximum-paths ibgp,bgpd/bgp_vty.c,BGP_IPV4L_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6_NODE,MISSING,add,1-globals,
bgp_maxpaths_ibgp_cluster_hidden_cmd,maximum-paths ibgp,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_maxpaths_ibgp_cmd,maximum-paths ibgp,bgpd/bgp_vty.c,BGP_IPV4L_NODE;BGP_IPV4_NODE;BGP_IPV6L_NODE;BGP_IPV6_NODE,MISSING,add,1-globals,
bgp_maxpaths_ibgp_hidden_cmd,maximum-paths ibgp,bgpd/bgp_vty.c,BGP_NODE,MISSING,add,1-globals,
bgp_minimum_holdtime_cmd,bgp minimum-holdtime (1-65535),bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,1-globals,
bgp_neighbor_graceful_restart_disable_set_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> graceful-restart-disable,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,8-filter-rmap,
bgp_neighbor_graceful_restart_helper_set_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> graceful-restart-helper,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,8-filter-rmap,
bgp_neighbor_graceful_restart_set_cmd,neighbor <A.B.C.D|X:X::X:X|WORD> graceful-restart,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,8-filter-rmap,
bgp_network_cmd,[no] network \ 	<A.B.C.D/M$prefix|A.B.C.D$address [mask A.B.C.D$netmask]> \ 	[{route-map RMAP_NAME$map_name|label-index ,bgpd/bgp_route.c,BGP_IPV4L_NODE;BGP_IPV4M_NODE;BGP_IPV4_NODE;BGP_NODE,PARTIAL,fix,4-network-vpn,
bgp_network_import_check_cmd,bgp network import-check,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,4-network-vpn,
bgp_norib_cmd,bgp no-rib,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,1-globals,
bgp_outq_limit_cmd,bgp output-queue-limit (1-4294967295)$limit,bgpd/bgp_vty.c,CONFIG_NODE,MISSING,add,1-globals,
bgp_redistribute_ipv4_cmd,redistribute,bgpd/bgp_vty.c,BGP_IPV4_NODE,PARTIAL,fix,4-network-vpn,
bgp_redistribute_ipv4_hidden_cmd,redistribute,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,4-network-vpn,
bgp_redistribute_ipv4_metric_cmd,redistribute,bgpd/bgp_vty.c,BGP_IPV4_NODE,PARTIAL,fix,4-network-vpn,
bgp_redistribute_ipv4_metric_hidden_cmd,redistribute,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,4-network-vpn,
bgp_redistribute_ipv4_metric_rmap_cmd,redistribute,bgpd/bgp_vty.c,BGP_IPV4_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv4_metric_rmap_hidden_cmd,redistribute,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv4_ospf_cmd,redistribute <ospf|table|table-direct> (1-65535),bgpd/bgp_vty.c,BGP_IPV4_NODE,PARTIAL,fix,4-network-vpn,
bgp_redistribute_ipv4_ospf_hidden_cmd,redistribute <ospf|table|table-direct> (1-65535),bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,4-network-vpn,
bgp_redistribute_ipv4_ospf_metric_cmd,redistribute <ospf|table|table-direct> (1-65535) metric (0-4294967295),bgpd/bgp_vty.c,BGP_IPV4_NODE,PARTIAL,fix,4-network-vpn,
bgp_redistribute_ipv4_ospf_metric_hidden_cmd,redistribute <ospf|table|table-direct> (1-65535) metric (0-4294967295),bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,4-network-vpn,
bgp_redistribute_ipv4_ospf_metric_rmap_cmd,redistribute <ospf|table|table-direct> (1-65535) metric (0-4294967295) route-map RMAP_NAME,bgpd/bgp_vty.c,BGP_IPV4_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv4_ospf_metric_rmap_hidden_cmd,redistribute <ospf|table|table-direct> (1-65535) metric (0-4294967295) route-map RMAP_NAME,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv4_ospf_rmap_cmd,redistribute <ospf|table|table-direct> (1-65535) route-map RMAP_NAME,bgpd/bgp_vty.c,BGP_IPV4_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv4_ospf_rmap_hidden_cmd,redistribute <ospf|table|table-direct> (1-65535) route-map RMAP_NAME,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv4_ospf_rmap_metric_cmd,redistribute <ospf|table|table-direct> (1-65535) route-map RMAP_NAME metric (0-4294967295),bgpd/bgp_vty.c,BGP_IPV4_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv4_ospf_rmap_metric_hidden_cmd,redistribute <ospf|table|table-direct> (1-65535) route-map RMAP_NAME metric (0-4294967295),bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv4_rmap_cmd,redistribute,bgpd/bgp_vty.c,BGP_IPV4_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv4_rmap_hidden_cmd,redistribute,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv4_rmap_metric_cmd,redistribute,bgpd/bgp_vty.c,BGP_IPV4_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv4_rmap_metric_hidden_cmd,redistribute,bgpd/bgp_vty.c,BGP_NODE,PARTIAL,fix,8-filter-rmap,
bgp_redistribute_ipv6_cmd,redistribute,bgpd/bgp_vty.c,BGP_IPV6_NODE,PARTIAL,fix,4-network-vpn,
